Reference period,Automobiles,Motorcycles,Other land vehicles,Total
01-01-2017,103844,11,0,103855
02-01-2017,130736,35,0,130771
03-01-2017,84231,9,0,84240
04-01-2017,79621,20,0,79641
05-01-2017,84516,18,0,84534
06-01-2017,106217,16,0,106233
07-01-2017,122080,21,0,122101
08-01-2017,109364,16,0,109380
09-01-2017,63833,10,0,63843
10-01-2017,51055,18,0,51073
11-01-2017,55828,20,0,55848
12-01-2017,63648,1,0,63649
13-01-2017,95021,11,0,95032
14-01-2017,119454,13,0,119467
15-01-2017,108984,21,0,109005
16-01-2017,65306,8,0,65314
17-01-2017,52142,7,0,52149
18-01-2017,54908,12,0,54920
19-01-2017,62319,26,0,62345
20-01-2017,84958,74,0,85032
21-01-2017,107405,81,0,107486
22-01-2017,102759,26,0,102785
23-01-2017,59309,18,0,59327
24-01-2017,45566,11,0,45577
25-01-2017,57141,41,0,57182
26-01-2017,62639,25,0,62664
27-01-2017,87575,27,0,87602
28-01-2017,103607,25,0,103632
29-01-2017,96287,21,0,96308
30-01-2017,60328,20,0,60348
31-01-2017,51709,11,0,51720
01-02-2017,54132,23,0,54155
02-02-2017,63882,35,0,63917
03-02-2017,80534,24,0,80558
04-02-2017,93619,25,0,93644
05-02-2017,79939,19,0,79958
06-02-2017,53902,25,0,53927
07-02-2017,46952,19,0,46971
08-02-2017,49999,14,0,50013
09-02-2017,55694,34,0,55728
10-02-2017,78074,25,0,78099
11-02-2017,102924,27,0,102951
12-02-2017,92835,20,0,92855
13-02-2017,72277,11,0,72288
14-02-2017,62237,13,0,62250
15-02-2017,57984,23,0,58007
16-02-2017,67534,12,0,67546
17-02-2017,111808,45,0,111853
18-02-2017,143174,34,0,143208
19-02-2017,134379,32,0,134411
20-02-2017,133518,42,0,133560
21-02-2017,71743,26,0,71769
22-02-2017,71359,12,0,71371
23-02-2017,74636,27,0,74663
24-02-2017,96198,22,0,96220
25-02-2017,113250,23,0,113273
26-02-2017,107907,15,0,107922
27-02-2017,64535,16,0,64551
28-02-2017,63433,19,0,63452
01-03-2017,63203,16,0,63219
02-03-2017,71064,9,0,71073
03-03-2017,97792,14,0,97806
04-03-2017,120376,11,0,120387
05-03-2017,112145,20,0,112165
06-03-2017,69982,17,0,69999
07-03-2017,58459,50,0,58509
08-03-2017,63861,26,0,63887
09-03-2017,72941,29,0,72970
10-03-2017,97571,17,0,97588
11-03-2017,117027,17,0,117044
12-03-2017,114288,7,0,114295
13-03-2017,79124,18,0,79142
14-03-2017,56381,11,0,56392
15-03-2017,67232,18,0,67250
16-03-2017,93146,17,0,93163
17-03-2017,126219,40,0,126259
18-03-2017,156937,26,0,156963
19-03-2017,154411,20,0,154431
20-03-2017,85649,27,0,85676
21-03-2017,74966,29,0,74995
22-03-2017,71633,15,0,71648
23-03-2017,79328,18,0,79346
24-03-2017,102268,29,0,102297
25-03-2017,136586,36,0,136622
26-03-2017,129356,24,0,129380
27-03-2017,75323,16,0,75339
28-03-2017,68366,16,0,68382
29-03-2017,75898,44,0,75942
30-03-2017,84671,44,0,84715
31-03-2017,111463,37,0,111500
01-04-2017,137974,14,0,137988
02-04-2017,140190,59,0,140249
03-04-2017,92763,28,0,92791
04-04-2017,75831,26,0,75857
05-04-2017,80760,35,0,80795
06-04-2017,80653,40,0,80693
07-04-2017,109262,28,0,109290
08-04-2017,140545,60,0,140605
09-04-2017,151066,54,0,151120
10-04-2017,93084,43,0,93127
11-04-2017,79317,26,0,79343
12-04-2017,86782,22,0,86804
13-04-2017,107771,44,0,107815
14-04-2017,144549,60,0,144609
15-04-2017,141071,47,0,141118
16-04-2017,142437,43,0,142480
17-04-2017,146749,46,0,146795
18-04-2017,85699,50,0,85749
19-04-2017,80990,53,0,81043
20-04-2017,85450,26,0,85476
21-04-2017,110996,46,0,111042
22-04-2017,129004,45,0,129049
23-04-2017,132301,89,0,132390
24-04-2017,78420,45,0,78465
25-04-2017,69496,14,0,69510
26-04-2017,71452,25,0,71477
27-04-2017,80983,51,0,81034
28-04-2017,108154,62,0,108216
29-04-2017,130661,95,0,130756
30-04-2017,137389,52,0,137441
01-05-2017,79840,146,0,79986
02-05-2017,70839,88,0,70927
03-05-2017,72424,88,0,72512
04-05-2017,77266,81,0,77347
05-05-2017,101918,119,0,102037
06-05-2017,125302,117,0,125419
07-05-2017,131302,174,0,131476
08-05-2017,79537,93,0,79630
09-05-2017,68229,124,0,68353
10-05-2017,69417,82,0,69499
11-05-2017,80525,88,0,80613
12-05-2017,107301,161,0,107462
13-05-2017,129941,193,0,130134
14-05-2017,138200,147,0,138347
15-05-2017,83203,96,0,83299
16-05-2017,67281,116,0,67397
17-05-2017,75693,126,0,75819
18-05-2017,85556,159,0,85715
19-05-2017,116006,214,0,116220
20-05-2017,135866,291,0,136157
21-05-2017,158681,744,0,159425
22-05-2017,225603,1074,0,226677
23-05-2017,97354,290,0,97644
24-05-2017,81252,240,0,81492
25-05-2017,97958,232,0,98190
26-05-2017,152168,292,0,152460
27-05-2017,172337,542,0,172879
28-05-2017,155573,522,0,156095
29-05-2017,92970,259,0,93229
30-05-2017,81363,199,0,81562
31-05-2017,78073,275,0,78348
01-06-2017,89092,370,0,89462
02-06-2017,116560,406,0,116966
03-06-2017,134736,436,0,135172
04-06-2017,150778,731,0,151509
05-06-2017,92606,244,0,92850
06-06-2017,78827,236,0,79063
07-06-2017,85171,293,0,85464
08-06-2017,96204,382,0,96586
09-06-2017,123005,444,0,123449
10-06-2017,141093,1134,0,142227
11-06-2017,174288,1889,0,176177
12-06-2017,110789,564,0,111353
13-06-2017,87746,374,0,88120
14-06-2017,91741,501,0,92242
15-06-2017,101025,757,0,101782
16-06-2017,130899,543,0,131442
17-06-2017,152750,1060,0,153810
18-06-2017,171317,2335,0,173652
19-06-2017,108135,527,0,108662
20-06-2017,94500,317,0,94817
21-06-2017,92979,317,0,93296
22-06-2017,114078,433,0,114511
23-06-2017,146628,663,0,147291
24-06-2017,171303,976,0,172279
25-06-2017,192368,1629,0,193997
26-06-2017,138080,758,0,138838
27-06-2017,108824,425,0,109249
28-06-2017,117237,441,0,117678
29-06-2017,135604,452,0,136056
30-06-2017,189026,680,0,189706
01-07-2017,222973,707,0,223680
02-07-2017,203370,1538,0,204908
03-07-2017,205044,1262,0,206306
04-07-2017,120181,579,0,120760
05-07-2017,151152,685,0,151837
06-07-2017,144801,562,0,145363
07-07-2017,165488,637,0,166125
08-07-2017,184564,826,0,185390
09-07-2017,201103,1406,0,202509
10-07-2017,133649,516,0,134165
11-07-2017,113351,427,0,113778
12-07-2017,124101,533,0,124634
13-07-2017,135556,572,0,136128
14-07-2017,170894,724,0,171618
15-07-2017,193674,745,0,194419
16-07-2017,222375,2007,0,224382
17-07-2017,142264,833,0,143097
18-07-2017,121962,691,0,122653
19-07-2017,129438,650,0,130088
20-07-2017,144821,631,0,145452
21-07-2017,180894,733,0,181627
22-07-2017,205197,1079,0,206276
23-07-2017,215244,1445,0,216689
24-07-2017,147927,814,0,148741
25-07-2017,126961,665,0,127626
26-07-2017,136003,755,0,136758
27-07-2017,154070,788,0,154858
28-07-2017,191330,972,0,192302
29-07-2017,218921,1443,0,220364
30-07-2017,226255,1809,0,228064
31-07-2017,154874,874,0,155748
01-08-2017,136329,1058,0,137387
02-08-2017,141257,1117,0,142374
03-08-2017,166591,1048,0,167639
04-08-2017,196041,973,0,197014
05-08-2017,221738,947,0,222685
06-08-2017,223545,1164,0,224709
07-08-2017,243118,1464,0,244582
08-08-2017,158576,751,0,159327
09-08-2017,151847,828,0,152675
10-08-2017,164563,1155,0,165718
11-08-2017,202778,1471,0,204249
12-08-2017,215882,1114,0,216996
13-08-2017,228211,1552,0,229763
14-08-2017,152531,998,0,153529
15-08-2017,129792,613,0,130405
16-08-2017,137334,745,0,138079
17-08-2017,154464,932,0,155396
18-08-2017,197606,754,0,198360
19-08-2017,207003,858,0,207861
20-08-2017,228476,1375,0,229851
21-08-2017,148553,691,0,149244
22-08-2017,145196,565,0,145761
23-08-2017,144438,553,0,144991
24-08-2017,148099,613,0,148712
25-08-2017,176286,819,0,177105
26-08-2017,197053,757,0,197810
27-08-2017,211844,1500,0,213344
28-08-2017,143353,684,0,144037
29-08-2017,118082,574,0,118656
30-08-2017,122320,620,0,122940
31-08-2017,140352,510,0,140862
01-09-2017,196202,637,0,196839
02-09-2017,225164,872,0,226036
03-09-2017,212043,667,0,212710
04-09-2017,246543,2113,0,248656
05-09-2017,109247,443,0,109690
06-09-2017,91584,276,0,91860
07-09-2017,93273,285,0,93558
08-09-2017,118635,416,0,119051
09-09-2017,146357,480,0,146837
10-09-2017,162658,1037,0,163695
11-09-2017,93472,554,0,94026
12-09-2017,82790,418,0,83208
13-09-2017,85265,398,0,85663
14-09-2017,95278,410,0,95688
15-09-2017,122399,543,0,122942
16-09-2017,151442,679,0,152121
17-09-2017,162684,1374,0,164058
18-09-2017,96280,351,0,96631
19-09-2017,79669,243,0,79912
20-09-2017,84657,241,0,84898
21-09-2017,97364,241,0,97605
22-09-2017,123239,381,0,123620
23-09-2017,148355,589,0,148944
24-09-2017,177528,1396,0,178924
25-09-2017,99232,644,0,99876
26-09-2017,78185,260,0,78445
27-09-2017,80309,195,0,80504
28-09-2017,88782,193,0,88975
29-09-2017,117290,256,0,117546
30-09-2017,137841,452,0,138293
01-10-2017,152132,507,0,152639
02-10-2017,93441,224,0,93665
03-10-2017,78841,149,0,78990
04-10-2017,81217,139,0,81356
05-10-2017,96448,177,0,96625
06-10-2017,138419,207,0,138626
07-10-2017,158524,224,0,158748
08-10-2017,157025,397,0,157422
09-10-2017,209877,495,0,210372
10-10-2017,94248,169,0,94417
11-10-2017,77932,94,0,78026
12-10-2017,86296,145,0,86441
13-10-2017,115714,343,0,116057
14-10-2017,136728,132,0,136860
15-10-2017,144389,208,0,144597
16-10-2017,84368,98,0,84466
17-10-2017,69764,100,0,69864
18-10-2017,71957,117,0,72074
19-10-2017,82682,127,0,82809
20-10-2017,117202,121,0,117323
21-10-2017,135479,209,0,135688
22-10-2017,152865,425,0,153290
23-10-2017,84088,215,0,84303
24-10-2017,69039,129,0,69168
25-10-2017,67804,144,0,67948
26-10-2017,73713,112,0,73825
27-10-2017,102695,83,0,102778
28-10-2017,129493,130,0,129623
29-10-2017,135694,108,0,135802
30-10-2017,82621,87,0,82708
31-10-2017,56826,87,0,56913
01-11-2017,68422,124,0,68546
02-11-2017,72369,96,0,72465
03-11-2017,101106,81,0,101187
04-11-2017,121132,65,0,121197
05-11-2017,125510,81,0,125591
06-11-2017,75907,39,0,75946
07-11-2017,64021,55,0,64076
08-11-2017,67062,40,0,67102
09-11-2017,76856,55,0,76911
10-11-2017,109024,73,0,109097
11-11-2017,124819,52,0,124871
12-11-2017,144145,51,0,144196
13-11-2017,107295,94,0,107389
14-11-2017,70621,53,0,70674
15-11-2017,66509,37,0,66546
16-11-2017,71072,37,0,71109
17-11-2017,100060,71,0,100131
18-11-2017,125399,47,0,125446
19-11-2017,128419,61,0,128480
20-11-2017,79209,58,0,79267
21-11-2017,80216,81,0,80297
22-11-2017,101122,61,0,101183
23-11-2017,98654,47,0,98701
24-11-2017,125107,74,0,125181
25-11-2017,142150,58,0,142208
26-11-2017,159458,92,0,159550
27-11-2017,80956,59,0,81015
28-11-2017,68528,57,0,68585
29-11-2017,65617,71,0,65688
30-11-2017,72850,65,0,72915
01-12-2017,97709,69,0,97778
02-12-2017,125458,80,0,125538
03-12-2017,132763,43,0,132806
04-12-2017,79398,57,0,79455
05-12-2017,64031,44,0,64075
06-12-2017,65779,48,0,65827
07-12-2017,69539,49,0,69588
08-12-2017,90570,34,0,90604
09-12-2017,115649,49,0,115698
10-12-2017,112786,53,0,112839
11-12-2017,72540,35,0,72575
12-12-2017,55644,45,0,55689
13-12-2017,60073,42,0,60115
14-12-2017,72978,49,0,73027
15-12-2017,92882,32,0,92914
16-12-2017,123359,33,0,123392
17-12-2017,116031,28,0,116059
18-12-2017,82601,26,0,82627
19-12-2017,74060,38,0,74098
20-12-2017,82086,51,0,82137
21-12-2017,93892,60,0,93952
22-12-2017,120148,60,0,120208
23-12-2017,130872,54,0,130926
24-12-2017,86299,37,0,86336
25-12-2017,63477,21,0,63498
26-12-2017,126304,36,0,126340
27-12-2017,124798,47,0,124845
28-12-2017,122805,44,0,122849
29-12-2017,144236,56,0,144292
30-12-2017,151006,67,0,151073
31-12-2017,111666,29,0,111695
01-01-2018,107534,48,0,107582
02-01-2018,100645,56,0,100701
03-01-2018,95093,56,0,95149
04-01-2018,87775,61,0,87836
05-01-2018,106448,57,0,106505
06-01-2018,138403,60,0,138463
07-01-2018,110999,59,0,111058
08-01-2018,59858,45,0,59903
09-01-2018,63635,46,0,63681
10-01-2018,60906,39,0,60945
11-01-2018,65852,55,0,65907
12-01-2018,82116,53,0,82169
13-01-2018,96503,49,0,96552
14-01-2018,101330,37,0,101367
15-01-2018,62368,36,0,62404
16-01-2018,52729,45,0,52774
17-01-2018,54813,50,0,54863
18-01-2018,62928,50,0,62978
19-01-2018,88797,81,0,88878
20-01-2018,116213,118,0,116331
21-01-2018,105422,73,0,105495
22-01-2018,56512,43,0,56555
23-01-2018,48608,30,0,48638
24-01-2018,55407,45,0,55452
25-01-2018,65379,44,0,65423
26-01-2018,89081,69,0,89150
27-01-2018,110909,93,0,111002
28-01-2018,107035,63,0,107098
29-01-2018,59479,28,0,59507
30-01-2018,53555,47,0,53602
31-01-2018,57752,38,0,57790
01-02-2018,65868,73,0,65941
02-02-2018,82161,60,0,82221
03-02-2018,108041,69,0,108110
04-02-2018,82302,48,0,82350
05-02-2018,59991,55,0,60046
06-02-2018,58206,45,0,58251
07-02-2018,47243,60,0,47303
08-02-2018,64586,91,0,64677
09-02-2018,73562,84,0,73646
10-02-2018,91087,100,0,91187
11-02-2018,91437,79,0,91516
12-02-2018,83416,76,0,83492
13-02-2018,67375,61,0,67436
14-02-2018,63836,64,0,63900
15-02-2018,71090,93,0,71183
16-02-2018,112646,116,0,112762
17-02-2018,149427,109,0,149536
18-02-2018,141064,82,0,141146
19-02-2018,143888,87,0,143975
20-02-2018,71833,48,0,71881
21-02-2018,69647,67,0,69714
22-02-2018,77778,53,0,77831
23-02-2018,92947,44,0,92991
24-02-2018,114757,46,0,114803
25-02-2018,110827,47,0,110874
26-02-2018,68268,62,0,68330
27-02-2018,64825,81,0,64906
28-02-2018,69150,53,0,69203
01-03-2018,69692,61,0,69753
02-03-2018,90463,47,0,90510
03-03-2018,128216,63,0,128279
04-03-2018,121878,75,0,121953
05-03-2018,79871,61,0,79932
06-03-2018,70851,104,0,70955
07-03-2018,73534,78,0,73612
08-03-2018,72679,60,0,72739
09-03-2018,106612,62,0,106674
10-03-2018,141164,57,0,141221
11-03-2018,135100,79,0,135179
12-03-2018,90363,111,0,90474
13-03-2018,80795,68,0,80863
14-03-2018,81709,77,0,81786
15-03-2018,104366,74,0,104440
16-03-2018,137874,146,0,138020
17-03-2018,172852,144,0,172996
18-03-2018,166186,145,0,166331
19-03-2018,87786,66,0,87852
20-03-2018,77813,61,0,77874
21-03-2018,78827,112,0,78939
22-03-2018,82024,104,0,82128
23-03-2018,114352,132,0,114484
24-03-2018,142807,129,0,142936
25-03-2018,140252,209,0,140461
26-03-2018,91459,129,0,91588
27-03-2018,87191,144,0,87335
28-03-2018,97103,149,0,97252
29-03-2018,121768,193,0,121961
30-03-2018,160333,226,0,160559
31-03-2018,169743,187,0,169930
01-04-2018,166505,195,0,166700
02-04-2018,166731,179,0,166910
03-04-2018,99648,162,0,99810
04-04-2018,86882,147,0,87029
05-04-2018,96020,92,0,96112
06-04-2018,107574,167,0,107741
07-04-2018,134513,85,0,134598
08-04-2018,136119,141,0,136260
09-04-2018,84487,202,0,84689
10-04-2018,73747,217,0,73964
11-04-2018,75302,146,0,75448
12-04-2018,80094,169,0,80263
13-04-2018,110248,128,0,110376
14-04-2018,119624,134,0,119758
15-04-2018,112637,128,0,112765
16-04-2018,82243,131,0,82374
17-04-2018,77270,121,0,77391
18-04-2018,79542,115,0,79657
19-04-2018,86301,92,0,86393
20-04-2018,117608,129,0,117737
21-04-2018,145217,124,0,145341
22-04-2018,149624,260,0,149884
23-04-2018,90846,163,0,91009
24-04-2018,78512,116,0,78628
25-04-2018,79286,70,0,79356
26-04-2018,91908,361,0,92269
27-04-2018,117815,142,0,117957
28-04-2018,144859,203,0,145062
29-04-2018,151021,234,0,151255
30-04-2018,93384,79,0,93463
01-05-2018,81282,95,0,81377
02-05-2018,83930,113,0,84043
03-05-2018,93646,153,0,93799
04-05-2018,121281,176,0,121457
05-05-2018,143906,227,0,144133
06-05-2018,156218,296,0,156514
07-05-2018,94752,163,0,94915
08-05-2018,80865,117,0,80982
09-05-2018,82439,143,0,82582
10-05-2018,91764,136,0,91900
11-05-2018,118313,185,0,118498
12-05-2018,145578,192,0,145770
13-05-2018,156731,345,0,157076
14-05-2018,94043,200,0,94243
15-05-2018,82621,128,0,82749
16-05-2018,87923,139,0,88062
17-05-2018,97844,161,0,98005
18-05-2018,124565,243,0,124808
19-05-2018,140079,164,0,140243
20-05-2018,166849,456,0,167305
21-05-2018,250279,1834,0,252113
22-05-2018,111932,332,0,112264
23-05-2018,97021,190,0,97211
24-05-2018,109887,233,0,110120
25-05-2018,169436,432,0,169868
26-05-2018,187973,357,0,188330
27-05-2018,169083,403,0,169486
28-05-2018,101655,291,0,101946
29-05-2018,91042,215,0,91257
30-05-2018,91156,192,0,91348
31-05-2018,101491,217,0,101708
01-06-2018,127868,305,0,128173
02-06-2018,153212,573,0,153785
03-06-2018,173377,957,0,174334
04-06-2018,102563,303,0,102866
05-06-2018,88672,271,0,88943
06-06-2018,92335,361,0,92696
07-06-2018,104700,331,0,105031
08-06-2018,136984,572,0,137556
09-06-2018,159572,1086,0,160658
10-06-2018,178298,2087,0,180385
11-06-2018,115096,877,0,115973
12-06-2018,98461,537,0,98998
13-06-2018,102592,511,0,103103
14-06-2018,113494,503,0,113997
15-06-2018,145914,867,0,146781
16-06-2018,168234,1159,0,169393
17-06-2018,183806,3004,0,186810
18-06-2018,119786,592,0,120378
19-06-2018,101526,397,0,101923
20-06-2018,108400,453,0,108853
21-06-2018,118592,651,0,119243
22-06-2018,151493,715,0,152208
23-06-2018,167024,750,0,167774
24-06-2018,181030,1012,0,182042
25-06-2018,160568,1533,0,162101
26-06-2018,119502,541,0,120043
27-06-2018,120425,512,0,120937
28-06-2018,134193,491,0,134684
29-06-2018,174790,610,0,175400
30-06-2018,200187,871,0,201058
01-07-2018,187966,1224,0,189190
02-07-2018,234784,1896,0,236680
03-07-2018,153601,688,0,154289
04-07-2018,142055,587,0,142642
05-07-2018,169285,755,0,170040
06-07-2018,181277,756,0,182033
07-07-2018,159554,770,0,160324
08-07-2018,206605,1377,0,207982
09-07-2018,128411,613,0,129024
10-07-2018,119379,485,0,119864
11-07-2018,122531,599,0,123130
12-07-2018,139401,618,0,140019
13-07-2018,174171,810,0,174981
14-07-2018,197305,952,0,198257
15-07-2018,212267,1385,0,213652
16-07-2018,140101,744,0,140845
17-07-2018,122983,565,0,123548
18-07-2018,128563,658,0,129221
19-07-2018,143888,709,0,144597
20-07-2018,187613,811,0,188424
21-07-2018,209642,1112,0,210754
22-07-2018,217139,1256,0,218395
23-07-2018,152155,806,0,152961
24-07-2018,127234,639,0,127873
25-07-2018,137049,571,0,137620
26-07-2018,157274,610,0,157884
27-07-2018,199068,831,0,199899
28-07-2018,220367,997,0,221364
29-07-2018,229706,1274,0,230980
30-07-2018,157542,928,0,158470
31-07-2018,137707,824,0,138531
01-08-2018,146112,628,0,146740
02-08-2018,168885,890,0,169775
03-08-2018,211497,1085,0,212582
04-08-2018,226623,1127,0,227750
05-08-2018,230380,1281,0,231661
06-08-2018,254606,1597,0,256203
07-08-2018,157810,733,0,158543
08-08-2018,150625,586,0,151211
09-08-2018,170238,918,0,171156
10-08-2018,206518,1197,0,207715
11-08-2018,226555,1692,0,228247
12-08-2018,228600,1438,0,230038
13-08-2018,156844,688,0,157532
14-08-2018,134101,539,0,134640
15-08-2018,138466,514,0,138980
16-08-2018,135895,553,0,136448
17-08-2018,191868,834,0,192702
18-08-2018,210549,762,0,211311
19-08-2018,227733,1372,0,229105
20-08-2018,149287,603,0,149890
21-08-2018,128045,464,0,128509
22-08-2018,133146,389,0,133535
23-08-2018,148509,509,0,149018
24-08-2018,177410,662,0,178072
25-08-2018,197734,1597,0,199331
26-08-2018,190626,999,0,191625
27-08-2018,139035,472,0,139507
28-08-2018,119661,349,0,120010
29-08-2018,125894,360,0,126254
30-08-2018,142604,430,0,143034
31-08-2018,198728,599,0,199327
01-09-2018,224594,925,0,225519
02-09-2018,212726,1252,0,213978
03-09-2018,238997,2352,0,241349
04-09-2018,108822,556,0,109378
05-09-2018,87444,365,0,87809
06-09-2018,94479,380,0,94859
07-09-2018,122153,646,0,122799
08-09-2018,151549,776,0,152325
09-09-2018,159620,1191,0,160811
10-09-2018,94299,340,0,94639
11-09-2018,79665,214,0,79879
12-09-2018,82095,272,0,82367
13-09-2018,93109,278,0,93387
14-09-2018,121525,402,0,121927
15-09-2018,146751,987,0,147738
16-09-2018,159642,1208,0,160850
17-09-2018,94663,378,0,95041
18-09-2018,80665,160,0,80825
19-09-2018,80001,206,0,80207
20-09-2018,93488,157,0,93645
21-09-2018,121832,229,0,122061
22-09-2018,147876,260,0,148136
23-09-2018,155798,686,0,156484
24-09-2018,95807,316,0,96123
25-09-2018,74544,122,0,74666
26-09-2018,78115,109,0,78224
27-09-2018,88551,182,0,88733
28-09-2018,118023,246,0,118269
29-09-2018,140987,365,0,141352
30-09-2018,148259,1017,0,149276
01-10-2018,87815,162,0,87977
02-10-2018,73099,174,0,73273
03-10-2018,79333,140,0,79473
04-10-2018,93713,134,0,93847
05-10-2018,136934,222,0,137156
06-10-2018,159092,215,0,159307
07-10-2018,153865,334,0,154199
08-10-2018,210002,686,0,210688
09-10-2018,90042,166,0,90208
10-10-2018,78404,145,0,78549
11-10-2018,90075,153,0,90228
12-10-2018,115976,212,0,116188
13-10-2018,136906,169,0,137075
14-10-2018,144406,266,0,144672
15-10-2018,85112,127,0,85239
16-10-2018,72753,116,0,72869
17-10-2018,73198,106,0,73304
18-10-2018,84516,155,0,84671
19-10-2018,119383,175,0,119558
20-10-2018,138104,162,0,138266
21-10-2018,146677,230,0,146907
22-10-2018,90665,85,0,90750
23-10-2018,78417,95,0,78512
24-10-2018,68775,73,0,68848
25-10-2018,79501,83,0,79584
26-10-2018,107054,95,0,107149
27-10-2018,123735,60,0,123795
28-10-2018,130602,274,0,130876
29-10-2018,76288,57,0,76345
30-10-2018,71925,61,0,71986
31-10-2018,55803,70,0,55873
01-11-2018,70706,76,0,70782
02-11-2018,96879,106,0,96985
03-11-2018,124556,68,0,124624
04-11-2018,136372,81,0,136453
05-11-2018,76047,109,0,76156
06-11-2018,62549,78,0,62627
07-11-2018,62295,64,0,62359
08-11-2018,73328,82,0,73410
09-11-2018,102137,67,0,102204
10-11-2018,128123,77,0,128200
11-11-2018,133256,54,0,133310
12-11-2018,105796,159,0,105955
13-11-2018,66110,61,0,66171
14-11-2018,64342,59,0,64401
15-11-2018,67864,60,0,67924
16-11-2018,86720,50,0,86770
17-11-2018,125314,53,0,125367
18-11-2018,126874,51,0,126925
19-11-2018,76254,37,0,76291
20-11-2018,73719,57,0,73776
21-11-2018,96005,61,0,96066
22-11-2018,97149,74,0,97223
23-11-2018,120993,62,0,121055
24-11-2018,136068,50,0,136118
25-11-2018,155691,43,0,155734
26-11-2018,75606,52,0,75658
27-11-2018,58431,40,0,58471
28-11-2018,61220,19,0,61239
29-11-2018,70138,31,0,70169
30-11-2018,92568,51,0,92619
01-12-2018,116993,54,0,117047
02-12-2018,118368,52,0,118420
03-12-2018,73558,68,0,73626
04-12-2018,67868,70,0,67938
05-12-2018,68412,76,0,68488
06-12-2018,69013,64,0,69077
07-12-2018,92531,85,0,92616
08-12-2018,117371,50,0,117421
09-12-2018,113764,53,0,113817
10-12-2018,72444,32,0,72476
11-12-2018,63225,39,0,63264
12-12-2018,63802,32,0,63834
13-12-2018,72037,55,0,72092
14-12-2018,94188,61,0,94249
15-12-2018,121385,58,0,121443
16-12-2018,113768,41,0,113809
17-12-2018,77805,32,0,77837
18-12-2018,68985,39,0,69024
19-12-2018,77091,49,0,77140
20-12-2018,85423,48,0,85471
21-12-2018,113049,53,0,113102
22-12-2018,151091,47,0,151138
23-12-2018,127268,50,0,127318
24-12-2018,91089,26,0,91115
25-12-2018,70680,24,0,70704
26-12-2018,133182,29,0,133211
27-12-2018,131483,661,0,132144
28-12-2018,135167,51,0,135218
29-12-2018,154198,61,0,154259
30-12-2018,152276,49,0,152325
