Reference period,Automobiles,Motorcycles,Other land vehicles,Total
31-12-2018,111426,60,0,111486
01-01-2019,105514,57,0,105571
02-01-2019,105269,91,0,105360
03-01-2019,97049,130,0,97179
04-01-2019,120657,180,0,120837
05-01-2019,149085,161,0,149246
06-01-2019,119639,102,0,119741
07-01-2019,62454,51,0,62505
08-01-2019,55956,79,0,56035
09-01-2019,53225,78,0,53303
10-01-2019,60293,75,0,60368
11-01-2019,80692,101,0,80793
12-01-2019,103830,143,0,103973
13-01-2019,94539,73,0,94612
14-01-2019,55513,76,0,55589
15-01-2019,52779,101,0,52880
16-01-2019,53289,103,0,53392
17-01-2019,64060,81,0,64141
18-01-2019,97598,166,0,97764
19-01-2019,89459,163,0,89622
20-01-2019,77506,84,0,77590
21-01-2019,54556,80,0,54636
22-01-2019,49106,104,0,49210
23-01-2019,45757,126,0,45883
24-01-2019,55332,72,0,55404
25-01-2019,77892,130,0,78022
26-01-2019,102907,183,0,103090
27-01-2019,95606,115,0,95721
28-01-2019,51962,122,0,52084
29-01-2019,45361,61,0,45422
30-01-2019,42431,114,0,42545
31-01-2019,55817,106,0,55923
01-02-2019,84650,136,0,84786
02-02-2019,106663,196,0,106859
03-02-2019,88743,152,0,88895
04-02-2019,53193,104,0,53297
05-02-2019,52399,95,0,52494
06-02-2019,46581,107,0,46688
07-02-2019,57802,128,0,57930
08-02-2019,76559,84,0,76643
09-02-2019,98759,123,0,98882
10-02-2019,97518,96,0,97614
11-02-2019,56366,129,0,56495
12-02-2019,38930,89,0,39019
13-02-2019,43217,62,0,43279
14-02-2019,68970,98,0,69068
15-02-2019,102625,157,0,102782
16-02-2019,134268,270,0,134538
17-02-2019,130294,177,0,130471
18-02-2019,139141,146,0,139287
19-02-2019,71115,249,0,71364
20-02-2019,65940,171,0,66111
21-02-2019,70364,94,0,70458
22-02-2019,94169,210,0,94379
23-02-2019,117442,208,0,117650
24-02-2019,93153,95,0,93248
25-02-2019,56458,83,0,56541
26-02-2019,59021,69,0,59090
27-02-2019,54618,106,0,54724
28-02-2019,67411,162,0,67573
01-03-2019,96535,168,0,96703
02-03-2019,121926,176,0,122102
03-03-2019,117795,135,0,117930
04-03-2019,68670,95,0,68765
05-03-2019,64110,121,0,64231
06-03-2019,67213,139,0,67352
07-03-2019,75862,129,0,75991
08-03-2019,106034,117,0,106151
09-03-2019,135601,199,0,135800
10-03-2019,115569,105,0,115674
11-03-2019,79441,114,0,79555
12-03-2019,79893,117,0,80010
13-03-2019,83370,157,0,83527
14-03-2019,94294,167,0,94461
15-03-2019,129996,160,0,130156
16-03-2019,160934,177,0,161111
17-03-2019,162054,206,0,162260
18-03-2019,83967,175,0,84142
19-03-2019,74236,194,0,74430
20-03-2019,82248,169,0,82417
21-03-2019,83227,252,0,83479
22-03-2019,105663,214,0,105877
23-03-2019,138208,245,0,138453
24-03-2019,136543,260,0,136803
25-03-2019,83997,219,0,84216
26-03-2019,78922,183,0,79105
27-03-2019,86206,262,0,86468
28-03-2019,93745,182,0,93927
29-03-2019,121266,225,0,121491
30-03-2019,143526,467,0,143993
31-03-2019,142941,297,0,143238
01-04-2019,88754,280,0,89034
02-04-2019,81275,244,0,81519
03-04-2019,78612,220,0,78832
04-04-2019,85240,281,0,85521
05-04-2019,109001,214,0,109215
06-04-2019,135026,290,0,135316
07-04-2019,136810,305,0,137115
08-04-2019,79316,284,0,79600
09-04-2019,70477,233,0,70710
10-04-2019,74844,349,0,75193
11-04-2019,82888,326,0,83214
12-04-2019,118206,334,0,118540
13-04-2019,148489,344,0,148833
14-04-2019,136994,290,0,137284
15-04-2019,90222,270,0,90492
16-04-2019,83071,188,0,83259
17-04-2019,91731,305,0,92036
18-04-2019,110647,264,0,110911
19-04-2019,144398,386,0,144784
20-04-2019,150723,220,0,150943
21-04-2019,155528,404,0,155932
22-04-2019,166352,532,0,166884
23-04-2019,92321,271,0,92592
24-04-2019,86378,226,0,86604
25-04-2019,94897,443,0,95340
26-04-2019,115701,276,0,115977
27-04-2019,139366,339,0,139705
28-04-2019,147050,279,0,147329
29-04-2019,87174,302,0,87476
30-04-2019,74566,269,0,74835
01-05-2019,76961,191,0,77152
02-05-2019,84302,213,0,84515
03-05-2019,112187,237,0,112424
04-05-2019,138959,466,0,139425
05-05-2019,151850,840,0,152690
06-05-2019,86716,314,0,87030
07-05-2019,73583,180,0,73763
08-05-2019,75706,227,0,75933
09-05-2019,83785,241,0,84026
10-05-2019,110643,289,0,110932
11-05-2019,136728,480,0,137208
12-05-2019,144860,603,0,145463
13-05-2019,82845,255,0,83100
14-05-2019,72792,290,0,73082
15-05-2019,79126,278,0,79404
16-05-2019,90425,319,0,90744
17-05-2019,121570,396,0,121966
18-05-2019,143614,826,0,144440
19-05-2019,168031,681,0,168712
20-05-2019,240116,1652,0,241768
21-05-2019,100496,620,0,101116
22-05-2019,87639,402,0,88041
23-05-2019,105503,499,0,106002
24-05-2019,165498,488,0,165986
25-05-2019,182707,786,0,183493
26-05-2019,162196,800,0,162996
27-05-2019,98172,430,0,98602
28-05-2019,84304,418,0,84722
29-05-2019,82928,476,0,83404
30-05-2019,93893,514,0,94407
31-05-2019,120227,983,0,121210
01-06-2019,142211,1173,0,143384
02-06-2019,158652,1000,0,159652
03-06-2019,97626,522,0,98148
04-06-2019,88799,653,0,89452
05-06-2019,92392,519,0,92911
06-06-2019,106689,692,0,107381
07-06-2019,138807,846,0,139653
08-06-2019,156632,1674,0,158306
09-06-2019,174793,2877,0,177670
10-06-2019,108057,976,0,109033
11-06-2019,91211,521,0,91732
12-06-2019,94185,738,0,94923
13-06-2019,104908,686,0,105594
14-06-2019,138985,828,0,139813
15-06-2019,164176,1203,0,165379
16-06-2019,177308,2716,0,180024
17-06-2019,110126,889,0,111015
18-06-2019,97441,668,0,98109
19-06-2019,100862,698,0,101560
20-06-2019,114018,537,0,114555
21-06-2019,149814,954,0,150768
22-06-2019,171317,1577,0,172894
23-06-2019,181916,2301,0,184217
24-06-2019,152639,2027,0,154666
25-06-2019,111497,667,0,112164
26-06-2019,113662,657,0,114319
27-06-2019,131023,727,0,131750
28-06-2019,166265,1043,0,167308
29-06-2019,188768,1163,0,189931
30-06-2019,197017,1249,0,198266
01-07-2019,237627,2523,0,240150
02-07-2019,148627,915,0,149542
03-07-2019,167836,879,0,168715
04-07-2019,194408,937,0,195345
05-07-2019,201435,1277,0,202712
06-07-2019,189332,1298,0,190630
07-07-2019,201756,2212,0,203968
08-07-2019,136336,1016,0,137352
09-07-2019,119751,874,0,120625
10-07-2019,125522,1056,0,126578
11-07-2019,136238,994,0,137232
12-07-2019,175844,1070,0,176914
13-07-2019,200401,2228,0,202629
14-07-2019,214903,1967,0,216870
15-07-2019,148536,1147,0,149683
16-07-2019,125068,917,0,125985
17-07-2019,132363,748,0,133111
18-07-2019,149784,1115,0,150899
19-07-2019,186387,1224,0,187611
20-07-2019,209519,1879,0,211398
21-07-2019,225663,2314,0,227977
22-07-2019,152031,1139,0,153170
23-07-2019,131158,1043,0,132201
24-07-2019,138076,1060,0,139136
25-07-2019,156894,1304,0,158198
26-07-2019,200386,1580,0,201966
27-07-2019,218980,2318,0,221298
28-07-2019,217907,1691,0,219598
29-07-2019,155656,1305,0,156961
30-07-2019,134033,1051,0,135084
31-07-2019,144316,1085,0,145401
01-08-2019,171925,1638,0,173563
02-08-2019,212491,1710,0,214201
03-08-2019,224814,2243,0,227057
04-08-2019,226534,2057,0,228591
05-08-2019,255523,2385,0,257908
06-08-2019,159953,1401,0,161354
07-08-2019,150354,1238,0,151592
08-08-2019,168149,1323,0,169472
09-08-2019,208805,1512,0,210317
10-08-2019,229052,1620,0,230672
11-08-2019,225048,2205,0,227253
12-08-2019,155109,1170,0,156279
13-08-2019,134791,1014,0,135805
14-08-2019,141311,1065,0,142376
15-08-2019,165021,1273,0,166294
16-08-2019,195963,1193,0,197156
17-08-2019,209026,1290,0,210316
18-08-2019,224240,1961,0,226201
19-08-2019,150486,972,0,151458
20-08-2019,130849,931,0,131780
21-08-2019,132732,699,0,133431
22-08-2019,151450,1116,0,152566
23-08-2019,183582,1106,0,184688
24-08-2019,202446,1755,0,204201
25-08-2019,229362,2392,0,231754
26-08-2019,152440,1015,0,153455
27-08-2019,127305,737,0,128042
28-08-2019,135227,676,0,135903
29-08-2019,148661,815,0,149476
30-08-2019,208133,1063,0,209196
31-08-2019,232640,1691,0,234331
01-09-2019,225044,2308,0,227352
02-09-2019,243717,2566,0,246283
03-09-2019,109573,699,0,110272
04-09-2019,89998,551,0,90549
05-09-2019,95699,705,0,96404
06-09-2019,121559,883,0,122442
07-09-2019,143871,1134,0,145005
08-09-2019,157945,1319,0,159264
09-09-2019,94023,513,0,94536
10-09-2019,81602,408,0,82010
11-09-2019,83240,426,0,83666
12-09-2019,94580,496,0,95076
13-09-2019,121417,756,0,122173
14-09-2019,145908,599,0,146507
15-09-2019,153203,1466,0,154669
16-09-2019,91691,516,0,92207
17-09-2019,79404,494,0,79898
18-09-2019,79901,450,0,80351
19-09-2019,92013,585,0,92598
20-09-2019,124137,709,0,124846
21-09-2019,151180,1659,0,152839
22-09-2019,163809,2482,0,166291
23-09-2019,95527,427,0,95954
24-09-2019,76505,286,0,76791
25-09-2019,78833,431,0,79264
26-09-2019,87274,259,0,87533
27-09-2019,122929,541,0,123470
28-09-2019,144787,370,0,145157
29-09-2019,162609,909,0,163518
30-09-2019,91600,316,0,91916
01-10-2019,74249,231,0,74480
02-10-2019,72418,195,0,72613
03-10-2019,82577,268,0,82845
04-10-2019,111060,305,0,111365
05-10-2019,143106,538,0,143644
06-10-2019,147292,413,0,147705
07-10-2019,85263,246,0,85509
08-10-2019,73516,215,0,73731
09-10-2019,81480,361,0,81841
10-10-2019,94484,336,0,94820
11-10-2019,143056,427,0,143483
12-10-2019,159928,588,0,160516
13-10-2019,154089,620,0,154709
14-10-2019,205519,879,0,206398
15-10-2019,88591,257,0,88848
16-10-2019,76542,185,0,76727
17-10-2019,83870,168,0,84038
18-10-2019,113736,231,0,113967
19-10-2019,137061,233,0,137294
20-10-2019,151188,411,0,151599
21-10-2019,82597,233,0,82830
22-10-2019,67025,149,0,67174
23-10-2019,71637,188,0,71825
24-10-2019,78492,133,0,78625
25-10-2019,108075,141,0,108216
26-10-2019,130292,205,0,130497
27-10-2019,140917,220,0,141137
28-10-2019,74423,219,0,74642
29-10-2019,67364,204,0,67568
30-10-2019,62173,109,0,62282
31-10-2019,60963,70,0,61033
01-11-2019,94615,96,0,94711
02-11-2019,124357,117,0,124474
03-11-2019,133679,127,0,133806
04-11-2019,75465,93,0,75558
05-11-2019,61886,89,0,61975
06-11-2019,62884,97,0,62981
07-11-2019,68870,122,0,68992
08-11-2019,101830,103,0,101933
09-11-2019,128331,114,0,128445
10-11-2019,134525,121,0,134646
11-11-2019,94272,106,0,94378
12-11-2019,57221,82,0,57303
13-11-2019,61086,60,0,61146
14-11-2019,65705,67,0,65772
15-11-2019,92037,91,0,92128
16-11-2019,119639,106,0,119745
17-11-2019,126068,94,0,126162
18-11-2019,68644,95,0,68739
19-11-2019,58447,122,0,58569
20-11-2019,62428,97,0,62525
21-11-2019,67313,92,0,67405
22-11-2019,95339,111,0,95450
23-11-2019,125937,90,0,126027
24-11-2019,130231,98,0,130329
25-11-2019,77032,59,0,77091
26-11-2019,78309,82,0,78391
27-11-2019,99533,113,0,99646
28-11-2019,97200,74,0,97274
29-11-2019,122880,115,0,122995
30-11-2019,143559,74,0,143633
01-12-2019,135409,77,0,135486
02-12-2019,75344,76,0,75420
03-12-2019,63852,111,0,63963
04-12-2019,61146,85,0,61231
05-12-2019,67750,121,0,67871
06-12-2019,88103,124,0,88227
07-12-2019,114004,92,0,114096
08-12-2019,120407,110,0,120517
09-12-2019,70630,104,0,70734
10-12-2019,62895,86,0,62981
11-12-2019,60793,77,0,60870
12-12-2019,69999,80,0,70079
13-12-2019,93719,96,0,93815
14-12-2019,110559,56,0,110615
15-12-2019,107819,66,0,107885
16-12-2019,77099,97,0,77196
17-12-2019,66937,100,0,67037
18-12-2019,71226,52,0,71278
19-12-2019,78718,49,0,78767
20-12-2019,106491,100,0,106591
21-12-2019,146221,104,0,146325
22-12-2019,131066,81,0,131147
23-12-2019,119921,66,0,119987
24-12-2019,91669,96,0,91765
25-12-2019,73779,52,0,73831
26-12-2019,132953,87,0,133040
27-12-2019,147771,81,0,147852
28-12-2019,159112,82,0,159194
29-12-2019,150761,59,0,150820
30-12-2019,134354,68,0,134422
31-12-2019,104937,86,0,105023
01-01-2020,105709,47,0,105756
02-01-2020,118740,98,0,118838
03-01-2020,128053,95,0,128148
04-01-2020,143800,94,0,143894
05-01-2020,125588,99,0,125687
06-01-2020,65807,79,0,65886
07-01-2020,58727,66,0,58793
08-01-2020,56536,98,0,56634
09-01-2020,63552,113,0,63665
10-01-2020,78287,176,0,78463
11-01-2020,91113,105,0,91218
12-01-2020,75490,57,0,75547
13-01-2020,52253,70,0,52323
14-01-2020,49540,93,0,49633
15-01-2020,47388,125,0,47513
16-01-2020,55216,102,0,55318
17-01-2020,97863,173,0,98036
18-01-2020,81805,130,0,81935
19-01-2020,90209,105,0,90314
20-01-2020,60661,83,0,60744
21-01-2020,52702,70,0,52772
22-01-2020,55110,104,0,55214
23-01-2020,62300,176,0,62476
24-01-2020,84566,173,0,84739
25-01-2020,102753,130,0,102883
26-01-2020,96476,80,0,96556
27-01-2020,58525,184,0,58709
28-01-2020,52902,215,0,53117
29-01-2020,56275,275,0,56550
30-01-2020,67089,294,0,67383
31-01-2020,89531,261,0,89792
01-02-2020,111371,254,0,111625
02-02-2020,92542,134,0,92676
03-02-2020,60104,118,0,60222
04-02-2020,51054,88,0,51142
05-02-2020,55724,82,0,55806
06-02-2020,54855,119,0,54974
07-02-2020,67786,124,0,67910
08-02-2020,102853,126,0,102979
09-02-2020,101331,84,0,101415
10-02-2020,57457,120,0,57577
11-02-2020,56544,102,0,56646
12-02-2020,59202,173,0,59375
13-02-2020,65234,147,0,65381
14-02-2020,115738,137,0,115875
15-02-2020,142096,457,0,142553
16-02-2020,140888,212,0,141100
17-02-2020,155424,268,0,155692
18-02-2020,72735,84,0,72819
19-02-2020,68873,151,0,69024
20-02-2020,75623,140,0,75763
21-02-2020,100185,237,0,100422
22-02-2020,119939,183,0,120122
23-02-2020,123772,115,0,123887
24-02-2020,64309,92,0,64401
25-02-2020,58098,133,0,58231
26-02-2020,57004,129,0,57133
27-02-2020,57515,116,0,57631
28-02-2020,87345,184,0,87529
29-02-2020,115034,224,0,115258
01-03-2020,115190,148,0,115338
02-03-2020,70062,145,0,70207
03-03-2020,63688,135,0,63823
04-03-2020,67871,123,0,67994
05-03-2020,79049,137,0,79186
06-03-2020,102772,217,0,102989
07-03-2020,126127,185,0,126312
08-03-2020,120551,129,0,120680
09-03-2020,69946,167,0,70113
10-03-2020,56108,110,0,56218
11-03-2020,59903,100,0,60003
12-03-2020,63975,189,0,64164
13-03-2020,69316,185,0,69501
14-03-2020,65498,168,0,65666
15-03-2020,59310,214,0,59524
16-03-2020,54742,343,0,55085
17-03-2020,51946,250,0,52196
18-03-2020,56647,314,0,56961
19-03-2020,55332,457,0,55789
20-03-2020,58304,271,0,58575
21-03-2020,43672,286,0,43958
22-03-2020,36973,216,0,37189
23-03-2020,25898,399,0,26297
24-03-2020,19268,204,0,19472
25-03-2020,15652,199,0,15851
26-03-2020,12976,214,0,13190
27-03-2020,11998,199,0,12197
28-03-2020,8347,75,0,8422
29-03-2020,6679,84,0,6763
30-03-2020,7738,115,0,7853
31-03-2020,7918,80,0,7998
01-04-2020,7455,80,0,7535
02-04-2020,7405,72,0,7477
03-04-2020,7163,83,0,7246
04-04-2020,4908,84,0,4992
05-04-2020,4132,46,0,4178
06-04-2020,5935,195,0,6130
07-04-2020,5842,96,0,5938
08-04-2020,5827,79,0,5906
09-04-2020,5906,216,0,6122
10-04-2020,4608,44,0,4652
11-04-2020,3889,28,0,3917
12-04-2020,2801,36,0,2837
13-04-2020,4601,76,0,4677
14-04-2020,5686,87,0,5773
15-04-2020,5599,82,0,5681
16-04-2020,5921,119,0,6040
17-04-2020,5855,161,0,6016
18-04-2020,4039,44,0,4083
19-04-2020,3142,30,0,3172
20-04-2020,5449,37,0,5486
21-04-2020,5471,74,0,5545
22-04-2020,5727,55,0,5782
23-04-2020,5646,59,0,5705
24-04-2020,5892,88,0,5980
25-04-2020,4102,18,0,4120
26-04-2020,3132,26,0,3158
27-04-2020,5617,44,0,5661
28-04-2020,6102,72,0,6174
29-04-2020,5897,129,0,6026
30-04-2020,6458,105,0,6563
01-05-2020,6772,81,0,6853
02-05-2020,4183,50,0,4233
03-05-2020,3629,41,0,3670
04-05-2020,6219,69,0,6288
05-05-2020,6422,93,0,6515
06-05-2020,6455,76,0,6531
07-05-2020,6486,93,0,6579
08-05-2020,6811,89,0,6900
09-05-2020,4625,27,0,4652
10-05-2020,4025,24,0,4049
11-05-2020,6292,71,0,6363
12-05-2020,6809,83,0,6892
13-05-2020,6821,72,0,6893
14-05-2020,7309,162,0,7471
15-05-2020,7264,141,0,7405
16-05-2020,4547,53,0,4600
17-05-2020,3970,40,0,4010
18-05-2020,5922,52,0,5974
19-05-2020,7705,63,0,7768
20-05-2020,7867,100,0,7967
21-05-2020,7742,92,0,7834
22-05-2020,8019,119,0,8138
23-05-2020,5488,52,0,5540
24-05-2020,4238,23,0,4261
25-05-2020,5305,37,0,5342
26-05-2020,7779,111,0,7890
27-05-2020,7846,219,0,8065
28-05-2020,8183,106,0,8289
29-05-2020,8381,75,0,8456
30-05-2020,5412,24,0,5436
31-05-2020,4596,28,0,4624
01-06-2020,8483,128,0,8611
02-06-2020,8326,107,0,8433
03-06-2020,8173,93,0,8266
04-06-2020,8687,95,0,8782
05-06-2020,8516,87,0,8603
06-06-2020,5579,45,0,5624
07-06-2020,4845,18,0,4863
08-06-2020,8089,84,0,8173
09-06-2020,8841,157,0,8998
10-06-2020,8222,26,0,8248
11-06-2020,8629,23,0,8652
12-06-2020,9315,10,0,9325
13-06-2020,5984,10,0,5994
14-06-2020,5026,9,0,5035
15-06-2020,8481,11,0,8492
16-06-2020,8771,22,0,8793
17-06-2020,8975,17,0,8992
18-06-2020,9274,21,0,9295
19-06-2020,9322,21,0,9343
20-06-2020,6554,7,0,6561
21-06-2020,5706,11,0,5717
22-06-2020,9075,17,0,9092
23-06-2020,9484,10,0,9494
24-06-2020,9452,7,0,9459
25-06-2020,9955,20,0,9975
26-06-2020,10166,15,0,10181
27-06-2020,6650,12,0,6662
28-06-2020,5915,8,0,5923
29-06-2020,9575,16,0,9591
30-06-2020,10125,20,0,10145
01-07-2020,9029,11,0,9040
02-07-2020,10379,17,0,10396
03-07-2020,8883,18,0,8901
04-07-2020,5793,10,0,5803
05-07-2020,5643,9,0,5652
06-07-2020,9185,11,0,9196
07-07-2020,9403,16,0,9419
08-07-2020,9229,18,0,9247
09-07-2020,9730,27,0,9757
10-07-2020,9710,19,0,9729
11-07-2020,6293,6,0,6299
12-07-2020,5515,4,0,5519
13-07-2020,9358,7,0,9365
14-07-2020,9274,25,0,9299
15-07-2020,9623,33,0,9656
16-07-2020,9779,16,0,9795
17-07-2020,9828,21,0,9849
18-07-2020,6611,12,0,6623
19-07-2020,5327,4,0,5331
20-07-2020,9227,6,0,9233
21-07-2020,9493,7,0,9500
22-07-2020,9298,27,0,9325
23-07-2020,9673,16,0,9689
24-07-2020,9675,20,0,9695
25-07-2020,6199,16,0,6215
26-07-2020,5509,9,0,5518
27-07-2020,9089,12,0,9101
28-07-2020,9577,17,0,9594
29-07-2020,9378,23,0,9401
30-07-2020,10090,7,0,10097
31-07-2020,8695,17,0,8712
01-08-2020,7071,14,0,7085
02-08-2020,5686,6,0,5692
03-08-2020,8180,11,0,8191
04-08-2020,9711,12,0,9723
05-08-2020,9686,17,0,9703
06-08-2020,10205,17,0,10222
07-08-2020,10415,18,0,10433
08-08-2020,7001,9,0,7010
09-08-2020,6085,12,0,6097
10-08-2020,9682,12,0,9694
11-08-2020,9899,19,0,9918
12-08-2020,9790,18,0,9808
13-08-2020,10683,21,0,10704
14-08-2020,10831,20,0,10851
15-08-2020,7277,13,0,7290
16-08-2020,6628,21,0,6649
17-08-2020,10079,4,0,10083
18-08-2020,10424,11,0,10435
19-08-2020,10056,17,0,10073
20-08-2020,10938,16,0,10954
21-08-2020,10934,20,0,10954
22-08-2020,7366,17,0,7383
23-08-2020,6251,13,0,6264
24-08-2020,10254,29,0,10283
25-08-2020,10041,23,0,10064
26-08-2020,10020,12,0,10032
27-08-2020,10367,11,0,10378
28-08-2020,10205,19,0,10224
29-08-2020,6690,19,0,6709
30-08-2020,6323,12,0,6335
31-08-2020,9794,19,0,9813
01-09-2020,10470,25,0,10495
02-09-2020,10108,16,0,10124
03-09-2020,10812,16,0,10828
04-09-2020,10981,9,0,10990
05-09-2020,7038,19,0,7057
06-09-2020,5709,14,0,5723
07-09-2020,5521,3,0,5524
08-09-2020,9666,13,0,9679
09-09-2020,9859,17,0,9876
10-09-2020,10281,4,0,10285
11-09-2020,10548,17,0,10565
12-09-2020,6879,7,0,6886
13-09-2020,5396,5,0,5401
14-09-2020,9677,8,0,9685
15-09-2020,9862,14,0,9876
16-09-2020,9818,16,0,9834
17-09-2020,10340,18,0,10358
18-09-2020,10475,16,0,10491
19-09-2020,6773,6,0,6779
20-09-2020,5516,8,0,5524
21-09-2020,9718,14,0,9732
22-09-2020,9792,10,0,9802
23-09-2020,9858,6,0,9864
24-09-2020,9932,11,0,9943
25-09-2020,10659,11,0,10670
26-09-2020,7105,8,0,7113
27-09-2020,5568,7,0,5575
28-09-2020,9600,19,0,9619
29-09-2020,9901,13,0,9914
30-09-2020,10322,12,0,10334
01-10-2020,11580,13,0,11593
02-10-2020,11461,16,0,11477
03-10-2020,6798,2,0,6800
04-10-2020,5329,7,0,5336
05-10-2020,9523,11,0,9534
06-10-2020,9908,17,0,9925
07-10-2020,9916,6,0,9922
08-10-2020,10668,14,0,10682
09-10-2020,10814,12,0,10826
10-10-2020,6738,4,0,6742
11-10-2020,5663,3,0,5666
12-10-2020,7723,5,0,7728
13-10-2020,10112,8,0,10120
14-10-2020,9700,12,0,9712
15-10-2020,10154,17,0,10171
16-10-2020,10639,15,0,10654
17-10-2020,6767,15,0,6782
18-10-2020,5497,11,0,5508
19-10-2020,9055,18,0,9073
20-10-2020,9752,18,0,9770
21-10-2020,9708,14,0,9722
22-10-2020,9706,9,0,9715
23-10-2020,10266,9,0,10275
24-10-2020,6402,9,0,6411
25-10-2020,5235,11,0,5246
26-10-2020,9090,21,0,9111
27-10-2020,9303,7,0,9310
28-10-2020,9583,25,0,9608
29-10-2020,10260,15,0,10275
30-10-2020,10621,10,0,10631
31-10-2020,6369,5,0,6374
01-11-2020,5697,5,0,5702
02-11-2020,9036,18,0,9054
03-11-2020,8956,21,0,8977
04-11-2020,9293,9,0,9302
05-11-2020,9889,13,0,9902
06-11-2020,9885,13,0,9898
07-11-2020,5925,12,0,5937
08-11-2020,4902,4,0,4906
09-11-2020,8687,23,0,8710
10-11-2020,9038,14,0,9052
11-11-2020,7912,13,0,7925
12-11-2020,9394,11,0,9405
13-11-2020,9426,22,0,9448
14-11-2020,5738,16,0,5754
15-11-2020,4473,7,0,4480
16-11-2020,8346,20,0,8366
17-11-2020,8680,35,0,8715
18-11-2020,8838,19,0,8857
19-11-2020,9250,14,0,9264
20-11-2020,8539,19,0,8558
21-11-2020,6403,3,0,6406
22-11-2020,4900,5,0,4905
23-11-2020,8069,11,0,8080
24-11-2020,8658,18,0,8676
25-11-2020,9255,22,0,9277
26-11-2020,6489,12,0,6501
27-11-2020,7868,12,0,7880
28-11-2020,5874,10,0,5884
29-11-2020,5498,3,0,5501
30-11-2020,8717,8,0,8725
01-12-2020,8795,21,0,8816
02-12-2020,8968,21,0,8989
03-12-2020,9161,18,0,9179
04-12-2020,10097,23,0,10120
05-12-2020,6766,13,0,6779
06-12-2020,5757,7,0,5764
07-12-2020,8899,10,0,8909
08-12-2020,9146,11,0,9157
09-12-2020,9426,9,0,9435
10-12-2020,10685,14,0,10699
11-12-2020,11116,15,0,11131
12-12-2020,6365,3,0,6368
13-12-2020,5230,9,0,5239
14-12-2020,9098,15,0,9113
15-12-2020,9567,16,0,9583
16-12-2020,9353,16,0,9369
17-12-2020,9550,6,0,9556
18-12-2020,10954,16,0,10970
19-12-2020,7516,9,0,7525
20-12-2020,6031,4,0,6035
21-12-2020,9576,14,0,9590
22-12-2020,10032,10,0,10042
23-12-2020,10447,11,0,10458
24-12-2020,8079,3,0,8082
25-12-2020,4117,0,0,4117
26-12-2020,4554,3,0,4557
27-12-2020,4919,6,0,4925
28-12-2020,7131,10,0,7141
29-12-2020,7846,15,0,7861
30-12-2020,7830,14,0,7844
31-12-2020,7327,9,0,7336
01-01-2021,3903,6,0,3909
02-01-2021,5010,2,0,5012
03-01-2021,5235,7,0,5242
04-01-2021,8573,15,0,8588
05-01-2021,8757,9,0,8766
06-01-2021,8399,11,0,8410
07-01-2021,8807,12,0,8819
08-01-2021,8822,18,0,8840
09-01-2021,5350,5,0,5355
10-01-2021,4831,2,0,4833
11-01-2021,8398,15,0,8413
12-01-2021,8448,12,0,8460
13-01-2021,8529,15,0,8544
14-01-2021,8305,10,0,8315
15-01-2021,8663,9,0,8672
16-01-2021,4535,2,0,4537
17-01-2021,4285,3,0,4288
18-01-2021,7409,6,0,7415
19-01-2021,8063,9,0,8072
20-01-2021,8317,14,0,8331
21-01-2021,8787,14,0,8801
22-01-2021,9133,16,0,9149
23-01-2021,5310,8,0,5318
24-01-2021,4139,6,0,4145
25-01-2021,8326,13,0,8339
26-01-2021,7924,13,0,7937
27-01-2021,8562,11,0,8573
28-01-2021,8807,13,0,8820
29-01-2021,9073,11,0,9084
30-01-2021,5474,11,0,5485
31-01-2021,4826,6,0,4832
01-02-2021,8508,15,0,8523
02-02-2021,7410,15,0,7425
