Reference period,Automobiles,Motorcycles,Other land vehicles,Total
03-02-2021,8573,13,0,8586
04-02-2021,9347,10,0,9357
05-02-2021,8883,13,0,8896
06-02-2021,5165,15,0,5180
07-02-2021,4332,14,0,4346
08-02-2021,8256,16,0,8272
09-02-2021,7856,5,0,7861
10-02-2021,8476,3,0,8479
11-02-2021,8894,7,0,8901
12-02-2021,9504,16,0,9520
13-02-2021,5602,10,0,5612
14-02-2021,5338,6,0,5344
15-02-2021,6128,6,0,6134
16-02-2021,5982,15,0,5997
17-02-2021,8722,10,0,8732
18-02-2021,8797,11,0,8808
19-02-2021,9001,8,0,9009
20-02-2021,5597,6,0,5603
21-02-2021,5094,4,0,5098
22-02-2021,8019,29,0,8048
23-02-2021,8477,16,0,8493
24-02-2021,8893,16,0,8909
25-02-2021,9227,9,0,9236
26-02-2021,9481,10,0,9491
27-02-2021,5520,7,0,5527
28-02-2021,4945,3,0,4948
01-03-2021,9045,13,0,9058
02-03-2021,9211,10,0,9221
03-03-2021,9543,11,0,9554
04-03-2021,9683,14,0,9697
05-03-2021,9957,8,0,9965
06-03-2021,5911,3,0,5914
07-03-2021,4940,7,0,4947
08-03-2021,9059,8,0,9067
09-03-2021,9102,15,0,9117
10-03-2021,9981,17,0,9998
11-03-2021,9956,12,0,9968
12-03-2021,10342,5,0,10347
13-03-2021,6276,5,0,6281
14-03-2021,5027,3,0,5030
15-03-2021,9074,6,0,9080
16-03-2021,9571,12,0,9583
17-03-2021,9942,15,0,9957
18-03-2021,10497,23,0,10520
19-03-2021,10755,5,0,10760
20-03-2021,6426,2,0,6428
21-03-2021,5346,2,0,5348
22-03-2021,9315,8,0,9323
23-03-2021,9735,13,0,9748
24-03-2021,10444,7,0,10451
25-03-2021,11777,22,0,11799
26-03-2021,10672,10,0,10682
27-03-2021,7035,6,0,7041
28-03-2021,5285,4,0,5289
29-03-2021,9415,15,0,9430
30-03-2021,9990,20,0,10010
31-03-2021,11367,19,0,11386
01-04-2021,12453,13,0,12466
02-04-2021,9215,8,0,9223
03-04-2021,6755,12,0,6767
04-04-2021,5063,10,0,5073
05-04-2021,10237,15,0,10252
06-04-2021,11309,19,0,11328
07-04-2021,11243,16,0,11259
08-04-2021,10927,14,0,10941
09-04-2021,10831,15,0,10846
10-04-2021,7145,15,0,7160
11-04-2021,5988,13,0,6001
12-04-2021,9966,16,0,9982
13-04-2021,10160,12,0,10172
14-04-2021,10817,14,0,10831
15-04-2021,11565,13,0,11578
16-04-2021,11655,5,0,11660
17-04-2021,7588,12,0,7600
18-04-2021,6646,11,0,6657
19-04-2021,9973,6,0,9979
20-04-2021,10462,16,0,10478
21-04-2021,10841,15,0,10856
22-04-2021,11085,16,0,11101
23-04-2021,11660,12,0,11672
24-04-2021,7391,7,0,7398
25-04-2021,6410,2,0,6412
26-04-2021,10210,18,0,10228
27-04-2021,10343,23,0,10366
28-04-2021,11445,22,0,11467
29-04-2021,12467,17,0,12484
30-04-2021,12695,9,0,12704
01-05-2021,8901,6,0,8907
02-05-2021,7888,10,0,7898
03-05-2021,11166,10,0,11176
04-05-2021,10876,13,0,10889
05-05-2021,11942,9,0,11951
06-05-2021,12221,9,0,12230
07-05-2021,12653,16,0,12669
08-05-2021,8703,9,0,8712
09-05-2021,7396,10,0,7406
10-05-2021,10874,18,0,10892
11-05-2021,10902,17,0,10919
12-05-2021,11418,33,0,11451
13-05-2021,12460,27,0,12487
14-05-2021,13310,25,0,13335
15-05-2021,8397,18,0,8415
16-05-2021,7342,9,0,7351
17-05-2021,10826,24,0,10850
18-05-2021,11185,28,0,11213
19-05-2021,13213,19,0,13232
20-05-2021,12620,18,0,12638
21-05-2021,12677,14,0,12691
22-05-2021,8187,12,0,8199
23-05-2021,7441,6,0,7447
24-05-2021,9994,11,0,10005
25-05-2021,11710,18,0,11728
26-05-2021,12100,11,0,12111
27-05-2021,12527,19,0,12546
28-05-2021,13329,12,0,13341
29-05-2021,9178,9,0,9187
30-05-2021,8012,6,0,8018
31-05-2021,8344,7,0,8351
01-06-2021,11957,16,0,11973
02-06-2021,12021,9,0,12030
03-06-2021,12915,9,0,12924
04-06-2021,13774,17,0,13791
05-06-2021,9313,11,0,9324
06-06-2021,8222,5,0,8227
07-06-2021,12129,12,0,12141
08-06-2021,11684,11,0,11695
09-06-2021,12260,20,0,12280
10-06-2021,12621,16,0,12637
11-06-2021,13126,12,0,13138
12-06-2021,8784,18,0,8802
13-06-2021,8184,9,0,8193
14-06-2021,11852,26,0,11878
15-06-2021,12181,16,0,12197
16-06-2021,12458,26,0,12484
17-06-2021,13173,16,0,13189
18-06-2021,13449,15,0,13464
19-06-2021,9231,13,0,9244
20-06-2021,7968,10,0,7978
21-06-2021,11824,19,0,11843
22-06-2021,12059,24,0,12083
23-06-2021,12381,34,0,12415
24-06-2021,12869,21,0,12890
25-06-2021,12922,16,0,12938
26-06-2021,8691,9,0,8700
27-06-2021,8250,12,0,8262
28-06-2021,11634,14,0,11648
29-06-2021,11612,27,0,11639
30-06-2021,12299,16,0,12315
01-07-2021,11558,18,0,11576
02-07-2021,11405,13,0,11418
03-07-2021,7800,8,0,7808
04-07-2021,6495,7,0,6502
05-07-2021,11604,10,0,11614
06-07-2021,17393,18,0,17411
07-07-2021,14997,30,0,15027
08-07-2021,15654,15,0,15669
09-07-2021,16367,24,0,16391
10-07-2021,10949,8,0,10957
11-07-2021,9689,8,0,9697
12-07-2021,12987,16,0,13003
13-07-2021,12813,9,0,12822
14-07-2021,13028,11,0,13039
15-07-2021,14165,25,0,14190
16-07-2021,15458,16,0,15474
17-07-2021,10754,14,0,10768
18-07-2021,9055,8,0,9063
19-07-2021,12931,13,0,12944
20-07-2021,12625,23,0,12648
21-07-2021,14178,22,0,14200
22-07-2021,15280,21,0,15301
23-07-2021,16064,22,0,16086
24-07-2021,8625,26,0,8651
25-07-2021,10376,20,0,10396
26-07-2021,13696,19,0,13715
27-07-2021,12798,23,0,12821
28-07-2021,13706,16,0,13722
29-07-2021,15073,15,0,15088
30-07-2021,15684,20,0,15704
31-07-2021,11370,17,0,11387
01-08-2021,10500,8,0,10508
02-08-2021,13380,23,0,13403
03-08-2021,13646,23,0,13669
04-08-2021,14392,19,0,14411
05-08-2021,15655,7,0,15662
06-08-2021,14155,50,0,14205
07-08-2021,10613,7,0,10620
08-08-2021,10155,12,0,10167
09-08-2021,38516,38,0,38554
10-08-2021,23781,30,0,23811
11-08-2021,26069,29,0,26098
12-08-2021,29810,48,0,29858
13-08-2021,34131,30,0,34161
14-08-2021,27384,37,0,27421
15-08-2021,21220,16,0,21236
16-08-2021,21782,31,0,21813
17-08-2021,20442,23,0,20465
18-08-2021,23746,34,0,23780
19-08-2021,27807,16,0,27823
20-08-2021,33387,38,0,33425
21-08-2021,27185,39,0,27224
22-08-2021,20425,31,0,20456
23-08-2021,21257,23,0,21280
24-08-2021,20539,29,0,20568
25-08-2021,22614,33,0,22647
26-08-2021,26025,24,0,26049
27-08-2021,30890,23,0,30913
28-08-2021,24574,36,0,24610
29-08-2021,17697,24,0,17721
30-08-2021,18957,34,0,18991
31-08-2021,18950,37,0,18987
01-09-2021,22379,33,0,22412
02-09-2021,29655,29,0,29684
03-09-2021,44523,49,0,44572
04-09-2021,34068,37,0,34105
05-09-2021,18801,27,0,18828
06-09-2021,14297,39,0,14336
07-09-2021,17199,24,0,17223
08-09-2021,16938,38,0,16976
09-09-2021,21869,14,0,21883
10-09-2021,26560,22,0,26582
11-09-2021,20109,21,0,20130
12-09-2021,13813,10,0,13823
13-09-2021,16428,26,0,16454
14-09-2021,16081,26,0,16107
15-09-2021,18040,26,0,18066
16-09-2021,21162,25,0,21187
17-09-2021,27066,30,0,27096
18-09-2021,18824,21,0,18845
19-09-2021,16747,22,0,16769
20-09-2021,17323,35,0,17358
21-09-2021,15069,22,0,15091
22-09-2021,16518,26,0,16544
23-09-2021,20541,25,0,20566
24-09-2021,26978,28,0,27006
25-09-2021,18519,7,0,18526
26-09-2021,14950,16,0,14966
27-09-2021,15970,21,0,15991
28-09-2021,15253,30,0,15283
29-09-2021,17057,20,0,17077
30-09-2021,21346,18,0,21364
01-10-2021,26706,28,0,26734
02-10-2021,18034,18,0,18052
03-10-2021,13618,16,0,13634
04-10-2021,16762,10,0,16772
05-10-2021,15579,17,0,15596
06-10-2021,18306,11,0,18317
07-10-2021,25239,12,0,25251
08-10-2021,39229,33,0,39262
09-10-2021,27553,23,0,27576
10-10-2021,15016,10,0,15026
11-10-2021,14433,14,0,14447
12-10-2021,15715,14,0,15729
13-10-2021,16982,12,0,16994
14-10-2021,20620,21,0,20641
15-10-2021,26621,23,0,26644
16-10-2021,18347,10,0,18357
17-10-2021,13027,11,0,13038
18-10-2021,15260,9,0,15269
19-10-2021,15021,20,0,15041
20-10-2021,17077,8,0,17085
21-10-2021,20140,10,0,20150
22-10-2021,25721,16,0,25737
23-10-2021,17091,10,0,17101
24-10-2021,11877,6,0,11883
25-10-2021,14464,11,0,14475
26-10-2021,14591,12,0,14603
27-10-2021,16263,21,0,16284
28-10-2021,18490,5,0,18495
29-10-2021,23042,22,0,23064
30-10-2021,16003,6,0,16009
31-10-2021,11156,1,0,11157
01-11-2021,14419,13,0,14432
02-11-2021,13868,18,0,13886
03-11-2021,15279,12,0,15291
04-11-2021,17838,11,0,17849
05-11-2021,23865,18,0,23883
06-11-2021,16153,6,0,16159
07-11-2021,11546,6,0,11552
08-11-2021,14510,6,0,14516
09-11-2021,14747,14,0,14761
10-11-2021,17571,14,0,17585
11-11-2021,21917,6,0,21923
12-11-2021,25766,13,0,25779
13-11-2021,20709,5,0,20714
14-11-2021,26467,6,0,26473
15-11-2021,22075,5,0,22080
16-11-2021,18978,18,0,18996
17-11-2021,19448,14,0,19462
18-11-2021,22294,10,0,22304
19-11-2021,29902,23,0,29925
20-11-2021,27131,10,0,27141
21-11-2021,27664,13,0,27677
22-11-2021,24393,14,0,24407
23-11-2021,23564,11,0,23575
24-11-2021,35979,29,0,36008
25-11-2021,31419,13,0,31432
26-11-2021,25824,17,0,25841
27-11-2021,21645,8,0,21653
28-11-2021,32979,33,0,33012
29-11-2021,26244,18,0,26262
30-11-2021,28805,13,0,28818
01-12-2021,31280,31,0,31311
02-12-2021,33977,23,0,34000
03-12-2021,41510,17,0,41527
04-12-2021,43651,17,0,43668
05-12-2021,49596,21,0,49617
06-12-2021,32119,14,0,32133
07-12-2021,28850,20,0,28870
08-12-2021,24997,22,0,25019
09-12-2021,27755,12,0,27767
10-12-2021,33797,24,0,33821
11-12-2021,33798,8,0,33806
12-12-2021,38901,20,0,38921
13-12-2021,27802,16,0,27818
14-12-2021,24234,30,0,24264
15-12-2021,27861,23,0,27884
16-12-2021,29763,20,0,29783
17-12-2021,39748,14,0,39762
18-12-2021,44092,20,0,44112
19-12-2021,49564,15,0,49579
20-12-2021,46755,25,0,46780
21-12-2021,23586,25,0,23611
22-12-2021,29174,14,0,29188
23-12-2021,39317,12,0,39329
24-12-2021,31672,15,0,31687
25-12-2021,17809,8,0,17817
26-12-2021,23307,4,0,23311
27-12-2021,20902,12,0,20914
28-12-2021,24645,23,0,24668
29-12-2021,27121,17,0,27138
30-12-2021,26668,11,0,26679
31-12-2021,21723,7,0,21730
01-01-2022,16608,3,9,16620
02-01-2022,22005,1,8,22014
03-01-2022,20904,1,7,20912
04-01-2022,18536,4,3,18543
05-01-2022,18348,3,13,18364
06-01-2022,16816,1,5,16822
07-01-2022,17329,5,17,17351
08-01-2022,16400,1,1,16402
09-01-2022,16303,3,3,16309
10-01-2022,16145,3,2,16150
11-01-2022,13821,10,9,13840
12-01-2022,14127,1,7,14135
13-01-2022,16481,1,12,16494
14-01-2022,19758,5,18,19781
15-01-2022,16444,1,10,16455
16-01-2022,16814,3,10,16827
17-01-2022,10123,2,2,10127
18-01-2022,13146,2,7,13155
19-01-2022,12952,5,1,12958
20-01-2022,15071,2,5,15078
21-01-2022,17219,4,6,17229
22-01-2022,14305,9,1,14315
23-01-2022,14725,2,10,14737
24-01-2022,14331,0,4,14335
25-01-2022,13240,0,3,13243
26-01-2022,14113,1,6,14120
27-01-2022,16238,1,8,16247
28-01-2022,19315,7,15,19337
29-01-2022,15294,1,2,15297
30-01-2022,17798,0,5,17803
31-01-2022,16583,4,5,16592
01-02-2022,14784,0,14,14798
02-02-2022,12956,2,12,12970
03-02-2022,12989,3,5,12997
04-02-2022,16938,1,9,16948
05-02-2022,15435,2,5,15442
06-02-2022,17152,4,8,17164
07-02-2022,16485,4,13,16502
08-02-2022,14431,0,8,14439
09-02-2022,16092,3,9,16104
10-02-2022,18717,5,6,18728
11-02-2022,21986,3,3,21992
12-02-2022,17638,8,2,17648
13-02-2022,17251,3,8,17262
14-02-2022,17387,3,4,17394
15-02-2022,15774,3,18,15795
16-02-2022,17079,2,15,17096
17-02-2022,19646,1,11,19658
18-02-2022,28651,4,4,28659
19-02-2022,28754,2,9,28765
20-02-2022,25381,5,11,25397
21-02-2022,29763,8,8,29779
22-02-2022,19410,4,14,19428
23-02-2022,19952,3,15,19970
24-02-2022,21477,3,15,21495
25-02-2022,21473,0,7,21480
26-02-2022,22232,3,6,22241
27-02-2022,22234,0,7,22241
28-02-2022,26106,9,20,26135
01-03-2022,21323,4,21,21348
02-03-2022,22821,6,11,22838
03-03-2022,24950,5,20,24975
04-03-2022,32527,4,24,32555
05-03-2022,32648,7,10,32665
06-03-2022,35395,9,21,35425
07-03-2022,25461,3,7,25471
08-03-2022,21775,6,5,21786
09-03-2022,22342,1,15,22358
10-03-2022,25915,7,20,25942
11-03-2022,33616,3,11,33630
12-03-2022,29313,8,2,29323
13-03-2022,36965,9,21,36995
14-03-2022,30090,7,12,30109
15-03-2022,26064,2,12,26078
16-03-2022,29361,7,6,29374
17-03-2022,33057,8,17,33082
18-03-2022,45964,9,16,45989
19-03-2022,49951,3,2,49956
20-03-2022,62235,9,22,62266
21-03-2022,35332,10,8,35350
22-03-2022,27232,5,5,27242
23-03-2022,27407,10,10,27427
24-03-2022,28526,6,9,28541
25-03-2022,36824,11,4,36839
26-03-2022,34363,3,8,34374
27-03-2022,37574,2,20,37596
28-03-2022,27974,3,16,27993
29-03-2022,22461,5,10,22476
30-03-2022,21215,7,13,21235
31-03-2022,22210,6,5,22221
01-04-2022,77469,8,34,77511
02-04-2022,79035,16,20,79071
03-04-2022,76794,15,10,76819
04-04-2022,47583,7,24,47614
05-04-2022,40124,13,15,40152
06-04-2022,38952,13,30,38995
07-04-2022,41493,15,7,41515
08-04-2022,57477,8,13,57498
09-04-2022,71638,21,18,71677
10-04-2022,72148,31,17,72196
11-04-2022,47446,22,18,47486
12-04-2022,40670,12,22,40704
13-04-2022,42606,9,26,42641
14-04-2022,56276,16,13,56305
15-04-2022,75616,48,47,75711
16-04-2022,74578,14,28,74620
17-04-2022,84329,22,39,84390
18-04-2022,94361,32,35,94428
19-04-2022,48721,8,18,48747
20-04-2022,44761,6,19,44786
21-04-2022,45023,7,21,45051
22-04-2022,58556,21,28,58605
23-04-2022,67434,34,23,67491
24-04-2022,75440,44,44,75528
25-04-2022,46284,18,20,46322
26-04-2022,37109,11,21,37141
27-04-2022,38279,10,12,38301
28-04-2022,44680,14,21,44715
29-04-2022,60696,21,28,60745
30-04-2022,74664,49,13,74726
01-05-2022,80613,111,46,80770
02-05-2022,50179,24,20,50223
03-05-2022,40588,43,20,40651
04-05-2022,40601,22,11,40634
05-05-2022,45039,26,31,45096
06-05-2022,60393,40,25,60458
07-05-2022,73058,109,43,73210
08-05-2022,84032,133,56,84221
09-05-2022,49054,47,69,49170
10-05-2022,39352,59,33,39444
11-05-2022,41675,77,12,41764
12-05-2022,46832,69,35,46936
13-05-2022,61833,95,38,61966
14-05-2022,72093,250,88,72431
15-05-2022,82670,90,43,82803
16-05-2022,50036,42,36,50114
17-05-2022,42021,27,29,42077
18-05-2022,43797,22,28,43847
19-05-2022,49003,27,23,49053
20-05-2022,67343,107,37,67487
21-05-2022,74810,207,92,75109
22-05-2022,93628,153,65,93846
23-05-2022,142940,392,109,143441
24-05-2022,63608,81,40,63729
25-05-2022,48788,84,30,48902
26-05-2022,62261,56,15,62332
27-05-2022,96770,68,33,96871
28-05-2022,103727,106,40,103873
29-05-2022,95864,305,54,96223
30-05-2022,59960,108,31,60099
31-05-2022,48242,75,30,48347
01-06-2022,46141,69,25,46235
02-06-2022,52977,104,23,53104
03-06-2022,69515,93,41,69649
04-06-2022,79196,260,51,79507
05-06-2022,97413,330,99,97842
06-06-2022,57380,158,54,57592
07-06-2022,49774,117,42,49933
08-06-2022,50070,97,50,50217
09-06-2022,56420,144,38,56602
10-06-2022,75595,143,69,75807
11-06-2022,88606,435,88,89129
12-06-2022,104916,795,126,105837
13-06-2022,62209,244,31,62484
14-06-2022,51726,198,78,52002
15-06-2022,55822,241,77,56140
16-06-2022,67648,233,30,67911
17-06-2022,92099,242,41,92382
18-06-2022,97647,413,67,98127
19-06-2022,106660,1226,99,107985
20-06-2022,68206,293,54,68553
21-06-2022,55025,182,58,55265
22-06-2022,57810,193,45,58048
23-06-2022,67544,199,51,67794
24-06-2022,88136,349,74,88559
25-06-2022,95966,667,98,96731
26-06-2022,119596,765,114,120475
27-06-2022,79153,223,70,79446
28-06-2022,64208,205,51,64464
29-06-2022,70950,224,63,71237
30-06-2022,91451,253,118,91822
01-07-2022,127001,390,137,127528
02-07-2022,131676,595,127,132398
03-07-2022,138508,715,86,139309
04-07-2022,90032,215,53,90300
05-07-2022,87449,180,42,87671
06-07-2022,75608,197,43,75848
07-07-2022,81786,315,62,82163
08-07-2022,100006,307,88,100401
09-07-2022,109066,525,258,109849
10-07-2022,129116,649,152,129917
11-07-2022,89395,289,85,89769
12-07-2022,66900,204,49,67153
13-07-2022,71220,246,61,71527
14-07-2022,81620,258,67,81945
15-07-2022,102292,346,71,102709
16-07-2022,111592,559,133,112284
17-07-2022,124146,538,94,124778
18-07-2022,85210,268,91,85569
19-07-2022,68284,203,58,68545
20-07-2022,75208,222,92,75522
21-07-2022,86079,247,64,86390
22-07-2022,107100,316,71,107487
23-07-2022,119955,425,146,120526
24-07-2022,127731,421,103,128255
25-07-2022,88556,213,57,88826
26-07-2022,74568,353,45,74966
27-07-2022,81470,371,83,81924
28-07-2022,96866,301,72,97239
29-07-2022,120281,364,92,120737
30-07-2022,120673,495,72,121240
31-07-2022,127985,605,141,128731
01-08-2022,135427,466,128,136021
02-08-2022,87139,253,33,87425
03-08-2022,84312,448,93,84853
04-08-2022,98709,363,71,99143
05-08-2022,120946,382,81,121409
06-08-2022,132250,438,162,132850
07-08-2022,135505,381,71,135957
08-08-2022,95487,260,63,95810
09-08-2022,76289,306,29,76624
10-08-2022,84129,329,82,84540
11-08-2022,96791,339,72,97202
12-08-2022,125486,436,76,125998
13-08-2022,126841,556,107,127504
14-08-2022,136202,561,79,136842
15-08-2022,93881,378,81,94340
16-08-2022,77124,315,81,77520
17-08-2022,80205,182,47,80434
18-08-2022,92760,187,52,92999
19-08-2022,115284,294,68,115646
20-08-2022,126855,616,152,127623
21-08-2022,137687,391,74,138152
22-08-2022,92297,217,39,92553
23-08-2022,74603,123,40,74766
24-08-2022,79107,177,43,79327
25-08-2022,89020,229,51,89300
26-08-2022,106234,190,40,106464
27-08-2022,111999,550,119,112668
28-08-2022,127947,617,109,128673
29-08-2022,81642,211,57,81910
30-08-2022,66978,147,50,67175
31-08-2022,71440,138,50,71628
01-09-2022,87465,181,45,87691
02-09-2022,122848,253,72,123173
03-09-2022,136388,557,150,137095
04-09-2022,132125,475,67,132667
05-09-2022,153653,616,71,154340
06-09-2022,66950,198,27,67175
07-09-2022,52013,200,38,52251
08-09-2022,58730,207,38,58975
09-09-2022,74269,309,71,74649
10-09-2022,86543,687,108,87338
11-09-2022,102091,701,142,102934
12-09-2022,58474,195,48,58717
13-09-2022,50189,130,47,50366
14-09-2022,50373,98,48,50519
15-09-2022,58571,86,35,58692
16-09-2022,76548,159,35,76742
17-09-2022,89018,337,165,89520
18-09-2022,97076,266,39,97381
19-09-2022,62793,107,39,62939
20-09-2022,50107,86,16,50209
21-09-2022,47970,74,27,48071
22-09-2022,55824,68,24,55916
23-09-2022,77187,82,18,77287
24-09-2022,87941,336,70,88347
25-09-2022,95734,305,33,96072
26-09-2022,59469,88,32,59589
27-09-2022,46469,71,27,46567
28-09-2022,47540,92,35,47667
29-09-2022,53313,80,31,53424
30-09-2022,76410,171,72,76653
01-10-2022,109953,492,103,110548
02-10-2022,121046,285,44,121375
03-10-2022,68056,98,20,68174
04-10-2022,56093,107,25,56225
05-10-2022,55968,212,72,56252
06-10-2022,71264,290,51,71605
07-10-2022,111618,71,27,111716
08-10-2022,120679,149,32,120860
09-10-2022,113106,97,17,113220
10-10-2022,150878,186,72,151136
11-10-2022,64516,99,33,64648
12-10-2022,56940,191,31,57162
13-10-2022,62743,70,11,62824
14-10-2022,86371,58,31,86460
15-10-2022,102933,338,67,103338
16-10-2022,109070,211,45,109326
17-10-2022,61488,36,23,61547
18-10-2022,47514,32,9,47555
19-10-2022,51649,44,29,51722
20-10-2022,58736,28,6,58770
21-10-2022,82919,54,29,83002
22-10-2022,100997,378,59,101434
23-10-2022,106723,521,67,107311
24-10-2022,57262,30,22,57314
25-10-2022,48243,144,34,48421
26-10-2022,48526,43,25,48594
27-10-2022,55347,18,8,55373
28-10-2022,74908,27,18,74953
29-10-2022,88500,101,24,88625
30-10-2022,97314,116,62,97492
31-10-2022,54918,19,14,54951
01-11-2022,44256,22,18,44296
02-11-2022,46953,33,11,46997
03-11-2022,52582,40,26,52648
04-11-2022,74909,147,36,75092
05-11-2022,98025,556,64,98645
06-11-2022,99723,58,11,99792
07-11-2022,44569,38,18,44625
08-11-2022,46006,10,13,46029
09-11-2022,47305,9,19,47333
10-11-2022,61741,37,18,61796
11-11-2022,90286,40,29,90355
12-11-2022,101666,12,11,101689
13-11-2022,113217,17,14,113248
14-11-2022,61769,5,12,61786
15-11-2022,46862,2,18,46882
16-11-2022,41088,7,16,41111
17-11-2022,49140,5,7,49152
18-11-2022,63713,7,22,63742
19-11-2022,77346,6,11,77363
20-11-2022,87538,1,9,87548
21-11-2022,55658,2,7,55667
22-11-2022,54499,4,11,54514
23-11-2022,79944,2,16,79962
24-11-2022,78580,3,17,78600
25-11-2022,85962,6,7,85975
26-11-2022,98210,12,14,98236
27-11-2022,117176,12,62,117250
28-11-2022,63844,8,22,63874
29-11-2022,44029,4,20,44053
30-11-2022,38833,2,11,38846
01-12-2022,46796,10,12,46818
02-12-2022,65790,8,20,65818
03-12-2022,77161,9,11,77181
04-12-2022,84691,3,10,84704
05-12-2022,49985,0,19,50004
06-12-2022,41852,2,7,41861
07-12-2022,42846,4,11,42861
08-12-2022,48709,3,14,48726
09-12-2022,67555,8,17,67580
10-12-2022,81730,16,10,81756
11-12-2022,86086,10,10,86106
12-12-2022,53856,0,14,53870
13-12-2022,46233,9,10,46252
14-12-2022,46606,3,13,46622
15-12-2022,48481,7,14,48502
16-12-2022,66968,18,5,66991
17-12-2022,82855,13,10,82878
18-12-2022,82875,10,14,82899
19-12-2022,57670,5,12,57687
20-12-2022,52930,7,17,52954
21-12-2022,67616,3,17,67636
22-12-2022,86638,18,33,86689
23-12-2022,48043,3,12,48058
24-12-2022,47343,2,15,47360
25-12-2022,54082,0,9,54091
26-12-2022,93607,12,15,93634
27-12-2022,95175,13,23,95211
28-12-2022,93028,10,10,93048
29-12-2022,106369,4,24,106397
30-12-2022,120763,8,26,120797
31-12-2022,89350,9,9,89368
01-01-2023,88707,4,7,88718
02-01-2023,105648,4,18,105670
03-01-2023,69493,7,11,69511
04-01-2023,64051,4,19,64074
05-01-2023,67749,5,12,67766
06-01-2023,87324,10,16,87350
07-01-2023,107992,4,18,108014
08-01-2023,101011,6,17,101034
09-01-2023,52500,1,11,52512
10-01-2023,42999,6,19,43024
11-01-2023,42288,7,4,42299
12-01-2023,53229,1,21,53251
13-01-2023,69817,7,21,69845
14-01-2023,92557,13,14,92584
15-01-2023,87809,11,26,87846
16-01-2023,48946,1,9,48956
17-01-2023,38288,3,12,38303
18-01-2023,39737,4,21,39762
19-01-2023,44744,2,24,44770
20-01-2023,60424,12,20,60456
21-01-2023,82885,17,11,82913
22-01-2023,78289,23,29,78341
23-01-2023,43400,6,19,43425
24-01-2023,42011,7,18,42036
25-01-2023,34225,3,10,34238
26-01-2023,41277,13,11,41301
27-01-2023,63563,12,31,63606
28-01-2023,79591,34,20,79645
29-01-2023,72312,24,10,72346
30-01-2023,44554,2,24,44580
31-01-2023,38019,12,9,38040
01-02-2023,42299,9,25,42333
02-02-2023,47949,16,19,47984
03-02-2023,59874,6,17,59897
04-02-2023,74497,18,15,74530
05-02-2023,80855,10,30,80895
06-02-2023,45628,12,27,45667
07-02-2023,41792,16,19,41827
08-02-2023,44473,7,36,44516
09-02-2023,47362,11,43,47416
10-02-2023,67195,22,42,67259
11-02-2023,89651,50,39,89740
12-02-2023,78180,5,31,78216
13-02-2023,48840,21,20,48881
14-02-2023,45202,14,22,45238
15-02-2023,45296,15,26,45337
16-02-2023,54580,8,42,54630
17-02-2023,87525,17,38,87580
18-02-2023,124004,25,46,124075
19-02-2023,121998,29,29,122056
20-02-2023,128482,27,15,128524
21-02-2023,65453,10,40,65503
22-02-2023,50757,12,49,50818
23-02-2023,49662,8,27,49697
24-02-2023,76350,12,40,76402
25-02-2023,90356,10,62,90428
26-02-2023,89838,20,34,89892
27-02-2023,49388,13,34,49435
28-02-2023,44360,2,13,44375
01-03-2023,52848,12,23,52883
02-03-2023,59734,14,34,59782
03-03-2023,74819,33,48,74900
04-03-2023,85831,33,19,85883
05-03-2023,102061,30,60,102151
06-03-2023,59121,9,38,59168
07-03-2023,49814,6,35,49855
08-03-2023,52080,12,27,52119
09-03-2023,61496,19,50,61565
10-03-2023,74126,22,55,74203
11-03-2023,100334,10,39,100383
